电影名称,导演,主演,上映年份,类型,国家/地区,片长,豆瓣评分,评价人数,五星占比,短评总数,长评总数
痴迷,库里·巴克,迈克尔·约翰斯顿 / 印达·纳瓦雷特 / 库珀·汤姆林森 / 梅根·劳利斯 / 安迪·里克特 / 黑莉·菲茨杰拉德 / 达林·图恩德 / 克洛伊·布林 / 安东尼·帕沃内 / 贾斯蒂斯 / 马尔科姆·凯尔纳 / 安东尼·卡萨比安卡 / 特拉维斯·贝克 / 凯尔·布卢门撒尔 / 马修·杰克逊,2025,恐怖,美国,108分钟,7.7,32767,,14230,120
大濛,陈玉勋,方郁婷 / 柯炜林 / 汤毓绮 / 曾敬骅 / 陈以文 / 蔡昌宪 / 陈竹升 / 詹馥瑄 / 胡智强 / 陈俊成 / 刘冠廷 / 林美秀 / 谢章颖 / 林志儒 / 陈季霞,2025,剧情,中国台湾,134分钟,8.1,16818,,6780,100
被俘的塞万提斯,亚历杭德罗·阿梅纳瓦尔,胡利奥·佩纳 / 亚历桑德罗·博尔吉 / 何塞·曼努埃尔·波加 / 朱利安·帕斯查尔 / 罗伯托·阿拉莫 / 米古尔·雷兰 / 诺贝托·莫兰 / 路易斯·卡叶赫 / 塞萨尔·萨拉丘 / 拉法·杜纳 / 费尔南多·特赫罗 / 阿尔伯特·萨拉扎尔 / 胡安马·穆尼亚古里亚 / 马坦巴·若阿金 / 亚历克斯·曼东·雷,2025,剧情 / 惊悚 / 冒险,西班牙 / 意大利,134分钟,6.6,362,,145,4
电动维纳斯,皮埃尔·沙尔瓦多利,皮奥·马麦 / 阿娜伊斯·德穆斯蒂埃 / 吉尔·勒卢什 / 维玛拉·庞斯 / 古斯塔弗·科文 / 帕特里斯·泰帕索 / 玛德琳·博多 / 范妮·卡波内 / 罗曼·勒费弗尔 / 托马·罗比诺 / 埃德温·吉莱特,2026,喜剧,法国,122分钟,7.7,635,,348,3
神奇数字马戏团：谢幕演出,库珀·史密斯·古德温,莉兹·弗里曼 / 亚历克斯·罗尚 / 迈克尔·科瓦赫 / 阿曼达·许福德 / 玛丽莎·伦蒂 / 肖恩·奇普洛克 / 阿什利·尼科尔斯 / 库珀·史密斯·古德温 / 凯茜·埃乌鲁 / 斯凯·雷登 / 阿林·汉森,2026,剧情 / 动画,澳大利亚,98分钟,7.3,386,,151,6
双喜,许承杰,刘冠廷 / 余香凝 / 杨贵媚 / 田启文 / 庹宗华 / 汤毓绮 / 蔡凡熙 / 洪群钧 / 晏柔中 / 梁皓岚 / 林史恩 / 张馨比 / 刘品言 / 李国毅 / 陈淑芳,2025,剧情 / 喜剧 / 爱情,中国台湾,129分钟,7.4,10225,,4421,47
镖人：风起大漠,袁和平,吴京 / 谢霆锋 / 于适 / 陈丽君 / 孙艺洲 / 此沙 / 李云霄 / 梁家辉 / 张晋 / 惠英红 / 张译 / 李连杰 / 刘耀文 / 熊瑾怡 / 莒谦朗,2026,动作 / 武侠 / 古装,中国大陆,126分钟,7.5,430234,,192275,2662
绵羊侦探团,凯尔·巴尔达,休·杰克曼 / 尼可拉斯·博朗 / 尼古拉斯·加利齐纳 / 莫莉·戈登 / 茱莉亚·路易斯-德瑞弗斯 / 克里斯·奥多德 / 布莱恩·克兰斯顿 / 帕特里克·斯图尔特 / 雷吉娜·赫尔 / 贝拉·拉姆齐 / 瑞斯·达比 / 布雷特·戈德斯坦 / 艾玛·汤普森 / 周洪 / 康勒斯·希尔,2026,喜剧 / 动作 / 悬疑,爱尔兰 / 英国 / 德国 / 美国,110分钟,7.5,37900,,17994,157
我的妈耶,肖麓西,马思纯 / 白客 / 黄明昊 / 孙阳 / 梁靖康 / 嵇嘉禾 / 王天放 / 雷淞然 / 郭虹 / 张子贤 / 孔连顺 / 王海 / 赵梓淇 / 马旭东 / 张祐维,2026,剧情 / 喜剧 / 家庭,中国大陆,121分钟,6.3,38469,,17329,296
金谍行动,盖·里奇,亨利·卡维尔 / 杰克·吉伦哈尔 / 艾莎·冈萨雷斯 / 卡洛斯·巴登 / 迈克尔·武 / 费舍·史蒂芬斯 / 裴淳华 / 穆罕默德·阿勒·图尔基 / 科乔·阿塔 / 杰森·王 /  埃米特·J·斯坎伦 / 克里斯蒂安·奥乔亚·拉维尼亚 / 卡洛斯·克劳曼斯莫勒 / 克里斯托弗·海维尤 / 贡萨洛·博乌萨,2026,剧情 / 动作 / 惊悚,英国 / 美国,98分钟,6.1,7700,,2814,12
世界的主人,尹佳恩,徐粹彬 / 张慧珍 / 金郑植 / 姜彩允 / 李宰锡 / 朴知玧 / 金艺昶 / 高旻示 / 白贤珠 / 卞重熙 / 文惠仁 / 郑恩京 / 李尚熙 / 李代延 / 金锡勋,2025,剧情,韩国,119分钟,9.0,136349,,58571,871
真爱留声,莉亚·麦肯德里克,佐伊·达奇 / 卢卡斯·盖奇 / 尼克·罗宾森 / 尼克·奥弗曼 / 托比·桑德曼 / 岑勇康 / 吉尔·贝罗斯 / 席亚拉·博拉沃 / 斯宾塞·洛德 / 莉亚·麦肯德里克 / 威廉·C·沃恩 / 卡利克斯·弗雷泽 / 梅甘旦娑 / 吉尔·莫里森 / 泽尼亚·马歇尔,2026,喜剧 / 爱情,美国,118分钟,7.1,2200,,983,7
我住在凡尔赛的日子,纳撒尼尔·赫利米 / 克莱曼斯·马德琳-佩德里亚特,尼娜·佩雷斯-马拉尔特 / 埃米·卢卡斯-维吉耶 / 马尔科姆·瓦莱 / 安娜·阿尔瓦罗 / 席琳·荣特 / 雅各布·韦伯 / 阿丽亚娜·阿斯卡里德 / 蒂埃里·莱尔米特 / 安托万·赖纳茨 / 雷南·克罗斯 / 朱利安·西布尔 / 乌苏比-朱尼尔·福法纳 / 马杜苏·卡马拉 / 杰内莉亚·科阿杜 / 玛佳丽·罗森茨威格,2025,动画 / 家庭,卢森堡 / 法国,81分钟,8.3,5151,,2380,14
与王生活的男人,张抗俊,柳海真 / 朴志训 / 刘智泰 / 田美都 / 朴智焕 / 金旻 / 李浚赫 / 安宰弘 / 郑镇云 / 韩钟训 / 李泰英 / 张铉诚 / 吴达洙 / 李俊赫 / 金秀珍,2026,剧情 / 历史,韩国,116分钟,7.5,16197,,6946,55
蒙特利尔，我的美人,和晓丹,陈冲 / 夏洛特·奥宾 / 埃米莉·科泰 / John Xu / Pei Yao Xu / Anzhe Angelo Zhang,2025,剧情 / 同性,加拿大,117分钟,7.6,18053,,8290,98
爱情抓马,克里斯托弗·博格利,赞达亚 / 罗伯特·帕丁森 / 阿拉娜·哈伊姆 / 马莫多·阿西 / 海利·盖茨 / 西德妮·莱蒙 / 汉娜·格罗斯 / 安娜·巴瑞辛尼科夫 / 乔丁·库雷特 / 迈克尔·阿伯特 / 佐伊·温特斯 / 迪·尼尔森 / 达蒙·冈普顿 / 肯·奇斯曼 / 多利亚·伯拉孟特,2026,剧情 / 喜剧 / 爱情,美国,105分钟,6.9,42622,,21481,194
杀木池,李相玟,金惠奫 / 李钟圆 / 金准韩 / 金永声 / 吴东旻 / 尹在灿 / 张多雅,2026,惊悚 / 恐怖,韩国,95分钟,5.3,12277,,4825,20
迈克尔·杰克逊：巨星之路,安东尼·福奎阿,贾法尔·杰克逊 / 尼娅·朗 / 朱利亚诺·瓦尔迪 / 科尔曼·多明戈 / 迈尔斯·特勒 / 凯林·多瑞尔·琼斯 / 劳拉·哈里尔 / 杰西卡·苏拉 / 麦克·梅尔斯 / 肯德里克·桑普森 / 拉伦兹·泰特 / 约瑟夫·戴维-琼斯 / 贾马尔·亨德森 / 莱恩·希尔 / 特雷·霍顿,2026,剧情 / 音乐 / 传记,美国,128分钟,7.5,55272,,25238,420
幽旅巫咒,达米安·麦卡锡,亚当·斯科特 / 大卫·威尔莫特 / 奥斯丁·阿梅里奥 / 弗洛伦丝·奥德什 / 彼得·库南 / 布伦丹·康罗伊 / 迈克尔·帕特里克 / 威尔·奥康纳 / 苏·卡罗尔 / 埃兹拉·卡莱尔 / 西奥克斯·C / 马洛里·亚当斯,2026,恐怖,爱尔兰 / 美国,101分钟 / 107分钟(电影节版),6.1,7656,,2934,16
三声再见,伊莎贝尔·科赛特,阿尔芭·罗尔瓦赫尔 / 埃利奥·杰曼诺 / 弗朗切斯科·卡里尔 / 西尔维娅·达米科 / 加拉泰亚·贝露琪 / 萨莉塔·乔德霍里 / 洛伦佐·特伦齐 / 索菲娅·德利娅 / 斯蒂法诺·布拉奇 / 彼得罗·斯帕沃利 / 孙克古·郑 / 马泰奥·卡洛马尼奥 / 朱塞佩·佩斯蒂洛 / 路易莎·里奇 / 薇拉·杰玛,2025,剧情,意大利 / 西班牙,120分钟,7.8,3893,,2178,26
我，许可,杨荔钠,文淇 / 秦海璐 / 白客 / 李雪琴 / 牛莉 / 刘佳 / 啜妮 / 王和 / 张馨文 / 张懿曼 / 黄少峰 / 李哲霆 / 黄博远 / 李冠廷 / 刘杰毅,2026,剧情 / 喜剧,中国大陆,118分钟,8.1,291762,,135200,3200
真人快打2,西蒙·麦奎德,阿德莱恩·鲁道夫 / 卡尔·厄本 / 马丁·福特 / 塔蒂·加布里埃 / 杰西卡·麦克娜美 / 麦卡德·布鲁克斯 / 林路迪 / 约什·劳森 / 浅野忠信 / 黄经汉 / 达蒙·海瑞曼 / 林科灯 / 真田广之 / 黄又亮 / 刘易斯·陈,2026,动作 / 科幻 / 惊悚,美国,116分钟,5.9,21395,,9599,94
东京出租车,山田洋次,倍赏千惠子 / 木村拓哉 / 苍井优 / 迫田孝也 / 优香 / 中岛瑠菜 / 神野三铃 / 李濬荣 / 笹野高史 / 大竹忍 / 槙田雄司 / 北山雅康 / 木村优来 / 小林稔侍 / 明石家秋刀鱼,2025,剧情,日本,103分钟,8.0,21958,,8669,85
杀的就是你,基里尔·索科洛夫,莎姬·贝兹 / 帕特丽夏·阿奎特 / 米哈拉·赫罗德 / 汤姆·费尔顿 / 佩特逊·约瑟夫 / 海瑟·格拉汉姆 / 阿曼多·里维拉 / 达伦-迈耶 / 克里斯·范·伦斯堡 / 盖布·加布里埃尔 / 梅根·亚历山大,2026,喜剧 / 动作 / 恐怖,美国,95分钟,6.8,25862,,10024,37
挽救计划,菲尔·罗德 / 克里斯托弗·米勒,瑞恩·高斯林 / 桑德拉·惠勒 / 詹姆斯·奥尔蒂斯 / 莱昂内尔·博伊斯 / 梁振邦 / 米拉娜·薇恩翠 / 普里亚·坎萨 / 利兹·金斯曼 / 马拉基·卡比 / 梅丽尔·斯特里普 / 尤妮斯·胡特哈特 / 雷·波特 / 达米安·德·弗罗贝维尔 / 米娅·索特里乌 / 亚伦·尼尔,2026,剧情 / 科幻 / 惊悚,美国,156分钟,8.6,482384,,202118,2137
家弑服务,保罗·费格,西德尼·斯维尼 / 阿曼达·塞弗里德 / 布兰登·斯克莱纳 / 米凯莱·莫罗尼 / 伊丽莎白·珀金斯 / 印第安娜·艾尔 / 梅根·弗格森 / 艾伦·塔玛基 / 皮特·柯兰多 / 多恩·迪皮塔 / 拉玛·鲍科姆-斯劳特 / 萨拉·库珀 / 凯茜·科斯塔·麦克科昂 / 阿曼达·乔伊·埃里克森 / 阿莱娜·苏格纳,2025,剧情 / 悬疑 / 惊悚,美国,131分钟,7.1,95972,,36094,198
爱上平行时空的你,达里娅·列别杰娃,米拉·埃尔绍娃 / 尤里·纳索诺夫 / 安东·瓦西利耶夫 / 柳德米拉·阿尔捷米娃 / 安东·阿尔特梅夫 / 埃尔尚·阿列斯克罗夫 / 纳德兹达·伊万诺娃 / 罗扎·哈伊鲁林娜 / 玛丽亚·克罗托娃 / 尤里·李 / 康斯坦丁·梅尔兹利金 / 叶夫根尼·塔库耶夫,2025,剧情 / 喜剧 / 爱情,俄罗斯,99分钟,8.0,16692,,8130,43
糖精,娜塔莉·埃丽卡·詹姆斯,米多莉·弗朗西斯 / 玛德琳·麦登 / 丹妮尔·麦克唐纳 / 安娜·亚当斯 / 约瑟夫·鲍德温 / 安德烈·翁·卡莱索 / 丽莎·克里滕登 / 达妮埃拉·蕾妮·芬克 / 露西·戈尔比 / 达里乌斯·古格 / 瑞秋·哈拉夫 / 杰里迈亚·路易斯 / 麦肯齐·麦克拉伦 / 艾米丽·米利奇 / 萨姆·雷迪,2026,剧情 / 科幻 / 恐怖,澳大利亚,112分钟,6.0,2127,,805,2
女士优先,西娅·夏罗克,萨莎·拜伦·科恩 / 裴淳华 / 汤姆·戴维斯 / 艾米莉·莫迪默 / 韦鲁切·欧皮亚 / 查尔斯·丹斯 / 费奥纳·肖 / 理查德·E·格兰特 / 雷德·滕南特 / 凯瑟琳·亨特 / 卡迪夫·克尔万 / 比尔·帕特森 / 保罗·查希迪 / 乔丹·梅特卡夫 / 丹尼·艾肖克,2026,喜剧 / 爱情,美国,90分钟,6.3,12017,,5671,32
天才游戏,程亮,彭昱畅 / 丁禹兮 / 李蔓瑄 / 邓恩熙 / 侯雯元 / 何廖侣匀 / 李嘉灏 / 谷麒麟 / 生港帅 / 阳博 / 祁忆 / 范云飞 / 袁文康 / 徐少武 / 江璐,2026,悬疑 / 犯罪,中国大陆,96分钟,5.9,57033,,29671,789
木乃伊,李·克罗宁,杰克·莱诺 / 莱娅·科斯塔 / 梅·卡拉美维 / 娜塔莉·格蕾斯 / 希洛·莫利纳 / 比利·罗伊 / 维罗尼卡·法尔孔 / 哈亚特·卡米勒 / 梅·埃尔格蒂 / 艾米丽·米切尔 / 胡萨姆·查达特 / 提姆·塞菲 / 马克·米钦森 / 吉迪恩·埃默里 / 迪恩·艾伦·威廉姆斯,2026,恐怖,爱尔兰 / 美国 / 西班牙 / 加拿大,134分钟,6.1,18812,,7534,46
请求救援,山姆·雷米,瑞秋·麦克亚当斯 / 迪伦·奥布莱恩 / 伊迪尔·伊斯梅尔 / 丹尼斯·海斯伯特 / 泽维尔·塞缪尔 / 吴育刚 / 塔内·瓦拉库努娄 / 艾玛·雷米 / 克里斯蒂·贝斯特 / 弗朗塞斯卡·沃特斯 / 奥利维娅·索耶 / 布拉德·弗莱特 / 娜娜·米娅 / 阿努瓦特·蓬拉达翁 / 本嘉婉·提奥颂布恩吉特,2026,惊悚 / 恐怖 / 冒险,美国 / 加拿大 / 英国 / 澳大利亚 / 泰国,113分钟,6.6,29425,,11110,70
无可奈何,朴赞郁,李炳宪 / 孙艺珍 / 朴熙顺  / 李星民 / 廉惠兰 / 车胜元 / 吴达洙 / 金宇胜 / 崔素律 / 金海淑 / 柳演锡 / 李世亨 / 金炯默 / 禹贞媛 / 吴光禄,2025,剧情 / 喜剧 / 惊悚,韩国,139分钟 / 157分钟(导演剪辑版),7.3,78558,,28994,208
人夫总动员,朴奎泰,陈善圭 / 孔明 / 金知硕 / 尹敬浩 / 姜汉娜 / 李多熙 / 全昭旻,2026,剧情,韩国,,6.0,1167,,360,6
准备好了没2：我来了,泰勒·吉勒特 / 马特·贝蒂内利-奥尔平,萨玛拉·维文 / 凯瑟琳·纽顿 / 伊利亚·伍德 / 莎拉·米歇尔·盖拉 / 肖恩·海托西 / 大卫·柯南伯格 / 丹·贝尔尼 / 郑启蕙 / 安东尼·霍尔 / 瓦伦·萨朗加 / 纳迪姆·菲利普 / 马莎·利兹德克 / 内斯特·卡博内尔 / 玛雅·巴斯蒂达斯 / 胡安·巴勃罗·罗梅罗,2026,喜剧 / 惊悚 / 恐怖,美国 / 加拿大,108分钟,6.0,20452,,7764,31
她回来的那天,洪常秀,宋宣美 / 赵伦嬉 / 朴美素,2026,剧情,韩国,84分钟,7.5,1414,,976,7
心门之外,马克斯·赫格沃尔德,Linus Moog / 奥雷尔·克卢格 / 奥利·比加尔克 / 安尼卡·库尔 / 里昂·纳迪亚耶 / Marie Louise Albertine Becker / Marlena Strawe / 费迪南德·莱曼 / Matthieu Svetchine / Bernd Panzer / Denis Lenz,2025,剧情 / 爱情 / 同性,德国,116分钟,7.4,1076,,460,6
父母姐弟,吉姆·贾木许,汤姆·威兹 / 亚当·德赖弗 / 马伊姆·拜力克 / 夏洛特·兰普林 / 凯特·布兰切特 / 薇姬·克里普斯 / 莎拉·格林 / 茵蒂娅·摩尔 / 卢卡·萨巴 / 弗朗索瓦兹·勒布伦,2025,剧情 / 喜剧,美国 / 英国 / 意大利 / 法国 / 爱尔兰 / 德国,110分钟,6.6,5032,,2743,33
惊蛰无声,张艺谋,易烊千玺 / 朱一龙 / 宋佳 / 雷佳音 / 杨幂 / 张译 / 刘诗诗 / 刘耀文 / 林博洋 / 潘斌龙 / 姚安娜 / 段奕宏 / 陈明昊 / 江奇霖 / 王圣迪,2026,剧情 / 犯罪,中国大陆,104分钟,5.8,286737,,146997,8703
母鸡,乔治·巴勒菲,雅尼斯·科基亚斯梅诺斯 / 玛丽亚·迪亚科帕纳约图 / 阿吉里斯·潘达扎拉斯 / 马赫穆特·巴梅尔尼 / 克罗尼斯·巴巴里安 / 安东尼斯‧卡非祖罗普斯 / 尼克斯·凯提斯 / 迪米特里斯·佩雷吉斯 / 安东尼斯·齐奥齐奥普洛斯,2025,剧情 / 家庭,德国 / 希腊 / 匈牙利,96分钟,7.4,3457,,1847,17
一战再战,保罗·托马斯·安德森,莱昂纳多·迪卡普里奥 / 西恩·潘 / 本尼西奥·德尔·托罗 / 蔡斯·英菲尼迪 / 缇雅娜·泰勒 / 雷吉娜·赫尔 / 伍德·哈里斯 / 阿拉娜·哈伊姆 /  保罗·格里姆斯塔德 / 莎娜·麦克黑尔 / 斯塔尔勒塔·杜波利斯 / 埃里克·施维克 / 托尼·戈德温 / 詹姆斯·唐尼 / 约翰·胡热那克,2025,剧情 / 动作 / 惊悚,美国,162分钟,8.0,256944,,93222,942
蜂蜜的针,袁梅,袁泉 / 耿乐 / 宁静 / 俞飞鸿 / 齐溪 / 陈冲 / 孙悦 / 史可 / 余皑磊 / 李大光 / 杨子姗 / 刘雅瑟 / 窦靖童 / 马书良 / 焦刚,2026,爱情 / 悬疑 / 犯罪,中国大陆,119分钟,6.7,52619,,27509,638
拯救地球,欧格斯·兰斯莫斯,艾玛·斯通 / 杰西·普莱蒙 / 艾丹·德尔比思 / 卡门·加林德斯·巴雷拉 / 马克·T·刘易斯 / 瓦妮莎·恩格 / 塞德里克·迪莫尔内 / 艾丽西亚·希尔维斯通 / 斯塔夫罗斯·哈尔基阿斯 / 莫玛·切瑞 / 弗雷德利卡·怀特菲尔德 / 拉斐尔·洛佩兹·布拉沃 / 亚伊萨 / 特涅莎·埃利斯 / 罗杰·卡瓦略,2025,喜剧 / 科幻 / 犯罪,爱尔兰 / 英国 / 加拿大 / 韩国 / 美国,118分钟,7.1,30655,,12768,94
弗兰肯斯坦,吉尔莫·德尔·托罗,奥斯卡·伊萨克 / 雅各布·艾洛蒂 / 克里斯托弗·瓦尔兹 / 米娅·高斯 / 费利克斯·卡默雷尔 / 查尔斯·丹斯 / 大卫·布拉德利 / 拉斯·米克尔森 / 克里斯蒂安·康佛瑞 / 尼古拉·雷·卡斯 / 凯尔·盖特豪斯 / 劳伦·科林斯 / 索菲亚·加拉索 / 约阿希姆·弗耶尔斯图普 / 拉尔夫·伊内森,2025,剧情 / 科幻 / 恐怖,墨西哥 / 美国,149分钟,7.4,69475,,24659,246
